Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_9999113,Suco,4.0,3.0,12.0,Dinheiro,Para Viagem,2023-05-27
TXN_8779771,Café,4.0,2.0,8.0,Dinheiro,Na Loja,2023-07-25
TXN_9517146,Não Informado,5.0,5.0,25.0,Dinheiro,Para Viagem,2023-10-30
TXN_1621920,Salada,3.0,5.0,15.0,Não Informado,Para Viagem,2023-10-28
TXN_3808639,Suco,2.0,3.0,6.0,Carteira Digital,Para Viagem,2023-12-15
TXN_7028009,Bolo,4.0,3.0,12.0,Não Informado,Para Viagem,
TXN_7447872,Suco,2.0,3.0,6.0,Não Informado,Não Informado,
TXN_6955416,Salada,4.0,5.0,20.0,Não Informado,Na Loja,2023-02-25
TXN_3775339,Biscoito,3.0,1.0,3.0,Cartão de Crédito,Não Informado,2023-04-03
TXN_9547091,Biscoito,3.0,1.0,3.0,Cartão de Crédito,Não Informado,2023-10-08
TXN_4358673,Biscoito,5.0,1.0,5.0,Carteira Digital,Para Viagem,2023-12-28
TXN_4174591,Chá,4.0,1.5,6.0,Carteira Digital,Não Informado,2023-08-30
TXN_3398520,Sanduíche,1.0,4.0,4.0,Não Informado,Na Loja,2023-02-03
TXN_6171384,Vitamina,2.0,4.0,8.0,Cartão de Crédito,Não Informado,2023-09-12
TXN_2530938,Vitamina,5.0,4.0,20.0,Não Informado,Para Viagem,2023-04-27
TXN_3314971,Suco,3.0,3.0,9.0,Carteira Digital,Não Informado,2023-05-04
TXN_3092382,Café,5.0,2.0,10.0,Carteira Digital,Não Informado,2023-02-21
TXN_1001832,Salada,2.0,5.0,10.0,Dinheiro,Para Viagem,
TXN_1535311,Suco,3.0,3.0,9.0,Dinheiro,Não Informado,2023-03-16
TXN_2148617,Suco,3.0,3.0,9.0,Carteira Digital,Não Informado,2023-01-10
TXN_4633784,Não Informado,5.0,3.0,15.0,Não Informado,Na Loja,2023-02-06
TXN_4368416,Salada,2.0,5.0,10.0,Cartão de Crédito,Para Viagem,2023-02-24
TXN_9790731,Bolo,2.0,3.0,6.0,Não Informado,Não Informado,2023-06-02
TXN_9339456,Café,3.0,2.0,6.0,Não Informado,Para Viagem,2023-03-29
TXN_5179020,Bolo,2.0,3.0,6.0,Não Informado,Para Viagem,2023-06-18
TXN_6258471,Café,5.0,2.0,10.0,Carteira Digital,Na Loja,2023-09-23
TXN_7945375,Suco,3.0,3.0,9.0,Não Informado,Não Informado,2023-01-14
TXN_4685453,Chá,4.0,1.5,6.0,Dinheiro,Na Loja,2023-09-14
TXN_9646452,Suco,5.0,3.0,15.0,Cartão de Crédito,Não Informado,2023-09-16
TXN_9096052,Vitamina,4.0,4.0,16.0,Cartão de Crédito,Para Viagem,2023-12-28
TXN_5916991,Suco,2.0,3.0,6.0,Carteira Digital,Para Viagem,2023-02-06
TXN_3407169,Sanduíche,2.0,4.0,8.0,Dinheiro,Na Loja,2023-03-11
TXN_2277042,Chá,1.0,1.5,1.5,Dinheiro,Não Informado,2023-04-08
TXN_9273729,Chá,1.0,1.5,1.5,Não Informado,Não Informado,2023-12-19
TXN_2181545,Suco,4.0,3.0,12.0,Cartão de Crédito,Para Viagem,2023-07-14
TXN_1150033,Suco,5.0,3.0,15.0,Dinheiro,Na Loja,2023-04-18
TXN_1443912,Suco,2.0,3.0,6.0,Não Informado,Não Informado,2023-06-08
TXN_8700451,Chá,5.0,1.5,7.5,Cartão de Crédito,Para Viagem,2023-12-12
TXN_6380550,Café,5.0,2.0,10.0,Dinheiro,Na Loja,2023-01-05
TXN_4885518,Salada,3.0,5.0,15.0,Cartão de Crédito,Na Loja,2023-06-10
TXN_3972167,Sanduíche,5.0,4.0,20.0,Não Informado,Na Loja,2023-01-23
TXN_4878378,Chá,1.0,1.5,1.5,Cartão de Crédito,Não Informado,2023-02-20
TXN_2484241,Bolo,3.0,3.0,9.0,Carteira Digital,Não Informado,2023-07-19
TXN_2368126,Bolo,5.0,3.0,15.0,Não Informado,Na Loja,2023-12-06
TXN_7943008,Café,1.0,2.0,2.0,Cartão de Crédito,Não Informado,
TXN_8495063,Suco,1.0,3.0,3.0,Dinheiro,Não Informado,2023-05-31
TXN_4811133,Salada,2.0,5.0,10.0,Dinheiro,Não Informado,2023-08-11
TXN_8729570,Chá,5.0,1.5,7.5,Não Informado,Na Loja,2023-09-03
TXN_7623634,Bolo,2.0,3.0,6.0,Cartão de Crédito,Na Loja,2023-07-11
TXN_9336980,Salada,4.0,5.0,20.0,Dinheiro,Na Loja,2023-06-06
TXN_3424331,Bolo,4.0,3.0,12.0,Não Informado,Não Informado,2023-01-18
TXN_5072031,Bolo,2.0,3.0,6.0,Dinheiro,Para Viagem,2023-03-23
TXN_8687151,Salada,5.0,5.0,25.0,Dinheiro,Não Informado,2023-06-10
TXN_4031509,Não Informado,4.0,4.0,16.0,Cartão de Crédito,Para Viagem,2023-01-04
TXN_5265095,Café,1.0,2.0,2.0,Não Informado,Não Informado,2023-06-23
TXN_6541415,Não Informado,4.0,3.0,12.0,Dinheiro,Na Loja,2023-11-25
TXN_4108138,Café,5.0,2.0,10.0,Dinheiro,Não Informado,2023-08-03
TXN_1909796,Vitamina,2.0,4.0,8.0,Não Informado,Para Viagem,2023-07-12
TXN_1928241,Café,3.0,2.0,6.0,Dinheiro,Na Loja,2023-04-30
TXN_4283157,Salada,5.0,5.0,25.0,Carteira Digital,Na Loja,2023-11-25
TXN_8013032,Café,2.0,2.0,4.0,Cartão de Crédito,Não Informado,2023-03-07
TXN_8301424,Suco,2.0,3.0,6.0,Não Informado,Não Informado,2023-06-27
TXN_1093800,Sanduíche,3.0,4.0,12.0,Dinheiro,Para Viagem,
TXN_7965998,Suco,1.0,3.0,3.0,Cartão de Crédito,Na Loja,2023-11-02
TXN_9238666,Biscoito,1.0,1.0,1.0,Não Informado,Para Viagem,2023-07-31
TXN_1631695,Chá,2.0,1.5,3.0,Não Informado,Na Loja,2023-09-19
TXN_1435086,Bolo,5.0,3.0,15.0,Não Informado,Não Informado,2023-02-09
TXN_3226832,Não Informado,5.0,4.0,20.0,Dinheiro,Não Informado,2023-09-04
TXN_1648671,Sanduíche,3.0,4.0,12.0,Dinheiro,Para Viagem,2023-05-21
TXN_4062737,Bolo,3.0,3.0,9.0,Dinheiro,Na Loja,2023-07-02
TXN_3494565,Não Informado,2.0,4.0,8.0,Não Informado,Não Informado,2023-07-10
TXN_9249507,Biscoito,4.0,1.0,4.0,Cartão de Crédito,Na Loja,2023-11-21
TXN_4689500,Sanduíche,4.0,4.0,16.0,Não Informado,Não Informado,2023-12-02
TXN_8989148,Chá,2.0,1.5,3.0,Não Informado,Não Informado,2023-11-25
TXN_8316826,Café,3.0,2.0,6.0,Não Informado,Na Loja,2023-04-17
TXN_9836934,Biscoito,3.0,1.0,3.0,Carteira Digital,Na Loja,2023-03-13
TXN_8005489,Bolo,3.0,3.0,9.0,Não Informado,Na Loja,2023-08-12
TXN_6463132,Biscoito,5.0,1.0,5.0,Cartão de Crédito,Para Viagem,
TXN_3925836,Biscoito,3.0,1.0,3.0,Carteira Digital,Na Loja,2023-02-16
TXN_1896955,Salada,5.0,5.0,25.0,Não Informado,Na Loja,2023-09-23
TXN_5075974,Vitamina,4.0,4.0,16.0,Carteira Digital,Não Informado,2023-04-11
TXN_3978874,Vitamina,5.0,4.0,20.0,Cartão de Crédito,Na Loja,2023-03-13
TXN_8955912,Sanduíche,1.0,4.0,4.0,Não Informado,Não Informado,2023-11-07
TXN_1136554,Vitamina,3.0,4.0,12.0,Não Informado,Para Viagem,2023-03-26
TXN_8007337,Bolo,2.0,3.0,6.0,Carteira Digital,Para Viagem,2023-11-01
TXN_8129834,Salada,1.0,5.0,5.0,Dinheiro,Não Informado,2023-07-22
TXN_3831848,Não Informado,1.0,4.0,4.0,Carteira Digital,Para Viagem,2023-11-03
TXN_5365809,Bolo,3.0,3.0,9.0,Dinheiro,Na Loja,2023-09-14
TXN_8166407,Vitamina,2.0,4.0,8.0,Não Informado,Não Informado,2023-07-26
TXN_6629480,Vitamina,5.0,4.0,20.0,Cartão de Crédito,Na Loja,2023-02-28
TXN_3833797,Café,4.0,2.0,8.0,Não Informado,Na Loja,2023-01-27
TXN_2643815,Biscoito,3.0,1.0,3.0,Não Informado,Não Informado,2023-12-06
TXN_2996519,Bolo,5.0,3.0,15.0,Dinheiro,Não Informado,2023-01-19
TXN_8810894,Vitamina,1.0,4.0,4.0,Não Informado,Não Informado,2023-02-20
TXN_7412722,Suco,4.0,3.0,12.0,Dinheiro,Na Loja,2023-04-07
TXN_3937509,Vitamina,2.0,4.0,8.0,Não Informado,Na Loja,2023-03-20
TXN_6000201,Biscoito,3.0,1.0,3.0,Dinheiro,Para Viagem,2023-02-16
TXN_1714274,Biscoito,4.0,1.0,4.0,Não Informado,Na Loja,2023-12-27
TXN_3800182,Chá,2.0,1.5,3.0,Dinheiro,Na Loja,2023-10-26
TXN_5115080,Não Informado,5.0,3.0,15.0,Cartão de Crédito,Não Informado,2023-02-18
TXN_9788956,Suco,4.0,3.0,12.0,Não Informado,Não Informado,2023-04-11
TXN_6311602,Suco,3.0,3.0,9.0,Cartão de Crédito,Não Informado,2023-05-15
TXN_2950680,Café,2.0,2.0,4.0,Cartão de Crédito,Para Viagem,2023-12-10
TXN_6749847,Bolo,2.0,3.0,6.0,Cartão de Crédito,Não Informado,2023-08-15
TXN_2143187,Vitamina,1.0,4.0,4.0,Não Informado,Na Loja,2023-04-21
TXN_8964522,Não Informado,3.0,3.0,9.0,Cartão de Crédito,Para Viagem,2023-10-28
TXN_4088917,Café,3.0,2.0,6.0,Dinheiro,Para Viagem,2023-02-04
TXN_3779366,Biscoito,1.0,1.0,1.0,Carteira Digital,Na Loja,2023-04-15
TXN_7724048,Vitamina,1.0,4.0,4.0,Não Informado,Na Loja,2023-11-12
TXN_2698591,Chá,5.0,1.5,7.5,Não Informado,Não Informado,2023-08-05
TXN_3171373,Vitamina,3.0,4.0,12.0,Cartão de Crédito,Na Loja,2023-05-10
TXN_4129248,Sanduíche,2.0,4.0,8.0,Cartão de Crédito,Não Informado,
TXN_6498163,Vitamina,5.0,4.0,20.0,Não Informado,Na Loja,2023-07-15
TXN_6717827,Não Informado,3.0,5.0,15.0,Carteira Digital,Não Informado,2023-11-15
TXN_9089898,Salada,3.0,5.0,15.0,Cartão de Crédito,Não Informado,2023-01-11
TXN_8587583,Bolo,1.0,3.0,3.0,Não Informado,Não Informado,2023-10-01
TXN_8693704,Salada,5.0,5.0,25.0,Dinheiro,Na Loja,2023-05-04
TXN_3857960,Salada,4.0,5.0,20.0,Dinheiro,Na Loja,2023-04-26
TXN_3499124,Não Informado,4.0,4.0,16.0,Cartão de Crédito,Não Informado,2023-08-25
TXN_9250710,Salada,1.0,5.0,5.0,Dinheiro,Na Loja,2023-05-28
TXN_7058377,Suco,1.0,3.0,3.0,Não Informado,Para Viagem,2023-04-30
TXN_6766492,Salada,1.0,5.0,5.0,Não Informado,Não Informado,2023-01-14
TXN_9879996,Café,4.0,2.0,8.0,Carteira Digital,Na Loja,2023-03-01
TXN_4291940,Bolo,3.0,3.0,9.0,Cartão de Crédito,Na Loja,2023-11-13
TXN_7433461,Biscoito,2.0,1.0,2.0,Carteira Digital,Não Informado,2023-07-09
TXN_4068262,Salada,2.0,5.0,10.0,Cartão de Crédito,Não Informado,2023-05-13
TXN_5761073,Biscoito,1.0,1.0,1.0,Dinheiro,Na Loja,
TXN_5047447,Salada,1.0,5.0,5.0,Carteira Digital,Para Viagem,2023-12-27
TXN_6623508,Biscoito,5.0,1.0,5.0,Carteira Digital,Para Viagem,2023-05-18
TXN_2651216,Não Informado,3.0,4.0,12.0,Não Informado,Não Informado,2023-04-04
TXN_9350833,Bolo,1.0,3.0,3.0,Dinheiro,Para Viagem,2023-01-17
TXN_8377564,Bolo,5.0,3.0,15.0,Não Informado,Na Loja,2023-07-14
TXN_7031118,Salada,1.0,5.0,5.0,Cartão de Crédito,Não Informado,2023-03-29
TXN_2230167,Bolo,4.0,3.0,12.0,Carteira Digital,Para Viagem,2023-09-22
TXN_6446616,Chá,3.0,1.5,4.5,Não Informado,Não Informado,2023-09-30
TXN_1721827,Bolo,4.0,3.0,12.0,Carteira Digital,Não Informado,2023-08-22
TXN_6334895,Vitamina,1.0,4.0,4.0,Cartão de Crédito,Não Informado,2023-07-27
TXN_7077119,Não Informado,1.0,4.0,4.0,Carteira Digital,Na Loja,2023-12-30
TXN_8562645,Salada,,5.0,,Não Informado,Na Loja,2023-05-18
TXN_4700144,Café,4.0,2.0,8.0,Não Informado,Na Loja,2023-12-21
TXN_5526852,Sanduíche,5.0,4.0,20.0,Carteira Digital,Na Loja,2023-09-28
TXN_6846228,Salada,3.0,5.0,15.0,Não Informado,Na Loja,2023-11-16
TXN_8570890,Suco,4.0,3.0,12.0,Não Informado,Não Informado,2023-04-14
TXN_3205009,Não Informado,2.0,1.5,3.0,Dinheiro,Na Loja,2023-01-03
TXN_3786188,Chá,3.0,1.5,4.5,Cartão de Crédito,Na Loja,2023-10-20
TXN_4530804,Café,4.0,2.0,8.0,Não Informado,Não Informado,2023-01-12
TXN_9642066,Sanduíche,3.0,4.0,12.0,Cartão de Crédito,Na Loja,2023-08-31
TXN_7328294,Suco,2.0,3.0,6.0,Dinheiro,Não Informado,2023-07-07
TXN_1908636,Chá,2.0,1.5,3.0,Não Informado,Não Informado,
TXN_9238066,Não Informado,5.0,1.5,7.5,Carteira Digital,Na Loja,2023-09-15
TXN_5415901,Bolo,2.0,3.0,6.0,Carteira Digital,Não Informado,2023-10-21
TXN_6714420,Não Informado,2.0,3.0,6.0,Cartão de Crédito,Para Viagem,2023-03-30
TXN_6616971,Suco,2.0,3.0,6.0,Carteira Digital,Para Viagem,2023-09-02
TXN_7803615,Salada,3.0,5.0,15.0,Dinheiro,Na Loja,2023-12-13
TXN_7549542,Biscoito,5.0,1.0,5.0,Não Informado,Para Viagem,
TXN_3544789,Chá,4.0,1.5,6.0,Não Informado,Na Loja,2023-07-14
TXN_1583597,Salada,1.0,5.0,5.0,Dinheiro,Na Loja,2023-05-10
TXN_8472308,Biscoito,2.0,1.0,2.0,Carteira Digital,Para Viagem,2023-08-19
TXN_1967565,Vitamina,5.0,4.0,20.0,Cartão de Crédito,Para Viagem,2023-03-31
TXN_2029497,Sanduíche,2.0,4.0,8.0,Dinheiro,Para Viagem,2023-01-06
TXN_8929774,Não Informado,3.0,3.0,9.0,Dinheiro,Não Informado,2023-10-02
TXN_5003018,Biscoito,4.0,1.0,4.0,Carteira Digital,Não Informado,
TXN_7852990,Sanduíche,5.0,4.0,20.0,Carteira Digital,Para Viagem,2023-07-10
TXN_2534066,Salada,2.0,5.0,10.0,Dinheiro,Não Informado,2023-10-13
TXN_2059647,Chá,1.0,1.5,1.5,Carteira Digital,Na Loja,2023-05-29
TXN_2485183,Vitamina,5.0,4.0,20.0,Dinheiro,Na Loja,2023-07-07
TXN_7374846,Sanduíche,1.0,4.0,4.0,Cartão de Crédito,Não Informado,2023-05-29
TXN_9401522,Sanduíche,4.0,4.0,16.0,Carteira Digital,Na Loja,2023-11-16
TXN_8250651,Sanduíche,4.0,4.0,16.0,Carteira Digital,Na Loja,2023-03-13
TXN_7191245,Bolo,4.0,3.0,12.0,Não Informado,Para Viagem,2023-05-22
TXN_8982764,Bolo,5.0,3.0,15.0,Carteira Digital,Para Viagem,2023-11-23
TXN_8669422,Não Informado,4.0,3.0,12.0,Dinheiro,Para Viagem,2023-10-15
TXN_1153869,Vitamina,5.0,4.0,20.0,Cartão de Crédito,Para Viagem,2023-11-03
TXN_5043774,Sanduíche,3.0,4.0,12.0,Dinheiro,Não Informado,2023-06-08
TXN_1746320,Salada,1.0,5.0,5.0,Dinheiro,Não Informado,2023-11-14
TXN_1077129,Biscoito,1.0,1.0,1.0,Não Informado,Na Loja,2023-09-12
TXN_4865338,Sanduíche,4.0,4.0,16.0,Não Informado,Na Loja,2023-11-26
TXN_5616583,Vitamina,1.0,4.0,4.0,Não Informado,Não Informado,2023-10-13
TXN_2078474,Biscoito,2.0,1.0,2.0,Não Informado,Para Viagem,2023-11-03
TXN_2130245,Vitamina,5.0,4.0,20.0,Cartão de Crédito,Não Informado,2023-11-13
TXN_3229409,Suco,,3.0,,Dinheiro,Para Viagem,2023-04-15
TXN_9076216,Bolo,1.0,3.0,3.0,Dinheiro,Não Informado,2023-12-17
TXN_6371987,Chá,5.0,1.5,7.5,Não Informado,Para Viagem,2023-03-13
TXN_9913877,Não Informado,2.0,2.0,4.0,Cartão de Crédito,Não Informado,2023-05-09
TXN_2084377,Vitamina,1.0,4.0,4.0,Cartão de Crédito,Não Informado,2023-10-22
TXN_1842675,Não Informado,4.0,1.0,4.0,Cartão de Crédito,Para Viagem,2023-06-23
TXN_8605813,Biscoito,1.0,1.0,1.0,Não Informado,Não Informado,2023-06-30
TXN_9755352,Sanduíche,5.0,4.0,20.0,Não Informado,Na Loja,2023-05-13
TXN_7550498,Suco,5.0,3.0,15.0,Não Informado,Na Loja,
TXN_2305908,Café,4.0,2.0,8.0,Dinheiro,Não Informado,2023-04-25
TXN_6953697,Não Informado,3.0,4.0,12.0,Não Informado,Para Viagem,2023-05-27
TXN_3495950,Não Informado,4.0,1.5,6.0,Cartão de Crédito,Na Loja,2023-02-19
TXN_7557340,Chá,5.0,1.5,7.5,Cartão de Crédito,Na Loja,2023-12-11
TXN_1157817,Vitamina,1.0,4.0,4.0,Carteira Digital,Na Loja,2023-04-25
TXN_2020318,Chá,3.0,1.5,4.5,Carteira Digital,Na Loja,2023-10-12
TXN_8692094,Café,5.0,2.0,10.0,Não Informado,Para Viagem,2023-08-30
TXN_5307411,Bolo,3.0,3.0,9.0,Carteira Digital,Para Viagem,2023-10-21
TXN_9703120,Café,3.0,2.0,6.0,Cartão de Crédito,Não Informado,2023-11-02
TXN_1289133,Suco,1.0,3.0,3.0,Dinheiro,Não Informado,2023-09-19
TXN_2031459,Bolo,3.0,3.0,9.0,Dinheiro,Para Viagem,2023-07-04
TXN_1333682,Vitamina,1.0,4.0,4.0,Carteira Digital,Não Informado,2023-01-28
TXN_2256622,Biscoito,2.0,1.0,2.0,Dinheiro,Na Loja,2023-10-04
TXN_1623966,Chá,2.0,1.5,3.0,Dinheiro,Para Viagem,
TXN_4912930,Vitamina,3.0,4.0,12.0,Cartão de Crédito,Na Loja,2023-02-26
TXN_4942692,Café,2.0,2.0,4.0,Não Informado,Para Viagem,2023-01-15
TXN_3723007,Chá,3.0,1.5,4.5,Carteira Digital,Na Loja,2023-05-18
TXN_7922392,Sanduíche,3.0,4.0,12.0,Não Informado,Não Informado,2023-05-03
TXN_7498727,Salada,3.0,5.0,15.0,Dinheiro,Não Informado,2023-11-06
